b88166fc-892d-4bcb-9263-b71cef41d780,781,Woburn,North America,United States,96.237.174.179,42.49,"42.4897,-71.1595",-71.159,506,Verizon FiOS,01801,Massachusetts,2014-08-12T16:43:35
f8ae6742-fc13-47a2-8428-025197fa5cfd,512,Austin,North America,United States,173.174.40.141,30.168,"30.1678,-97.8225",-97.823,635,Time Warner Cable,78748,Texas,2014-09-06T12:37:44
a7b6ec79-6d2a-4c99-827b-2432f99798f6,-,Tokyo,Asia,Japan,1.75.247.139,35.685,"35.685,139.7514",139.75,-,Ntt Docomo,-,Tokyo,2014-09-04T06:35:12
d7cc210c-64c7-407c-ba75-0bdaddb13938,330,Kensington,North America,United States,173.252.110.116,40.721,"40.7212,-80.948",-80.948,536,Facebook,44427,Ohio,2014-08-18T16:54:58
cf0fd722-53f6-48d2-8c81-da7591256a45,415,San Francisco,North America,United States,69.38.216.127,37.775,"37.7749,-122.4194",-122.42,807,Westin St Francis,-,California,2014-09-11T18:42:35
5a20c776-44f0-4984-b836-f8506a726f77,770,Dallas,North America,United States,76.20.212.209,33.992,"33.9922,-84.855",-84.855,524,Comcast Cable,30132,Georgia,2014-08-22T13:49:55
f85ea3a4-b433-4b53-9d8e-668b3233a1f9,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-09T03:12:19
28821787-fb5f-41cd-97bd-5678cf774d72,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-05T18:47:34
34ab5bc9-c5c5-455a-9cc6-24e70ec9dd4b,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-13T02:23:33
3e3bdd30-bc57-4d2a-a903-d3ee57f925e0,,,,,12.111.84.106,0,"0.0,0.0",0,,,,,2014-11-11T19:23:14
e2655a83-e9a4-4575-a28a-af13a25bb9d0,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-04T22:13:24
001730c0-7ed1-48b1-a068-26eb9482b5de,510,Fremont,North America,United States,24.6.47.213,37.516,"37.5155,-121.8962",-121.9,807,Comcast Cable,94539,California,2014-08-25T19:47:57
833aa753-e2b8-46f7-99b5-37425455b91e,770,Dallas,North America,United States,76.20.212.209,33.992,"33.9922,-84.855",-84.855,524,Comcast Cable,30132,Georgia,2014-08-27T20:15:33
5b4be3eb-9531-403b-b84b-0051b983e699,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-08-12T18:17:13
d8765629-2c2a-44c2-a7af-d0cc26d540e2,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-05T00:03:59
420ac194-2999-4f5b-a2e6-287f243a20b6,770,Dallas,North America,United States,76.20.212.209,33.992,"33.9922,-84.855",-84.855,524,Comcast Cable,30132,Georgia,2014-08-20T17:47:05
16951f20-75c7-4771-a96a-2e4697aa2d43,330,Kensington,North America,United States,173.252.80.115,40.721,"40.7212,-80.948",-80.948,536,Facebook,44427,Ohio,2014-08-18T16:55:01
8029a91b-f7ea-4b86-a4d4-0666cbf3d670,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-05T18:42:02
6cfa3da0-2706-4c66-bb27-dcfaf0ba5a00,206,Seattle,North America,United States,198.134.93.254,47.606,"47.6062,-122.3321",-122.33,819,CenturyLink,-,Washington,2014-09-04T14:08:07
c653376f-5677-4801-89b8-ff725c8c2168,330,Kensington,North America,United States,173.252.110.113,40.721,"40.7212,-80.948",-80.948,536,Facebook,44427,Ohio,2014-08-25T19:48:07
e7e47358-f9f0-4f19-bd27-a88481d54c8c,,,,,90.152.1.163,0,"0.0,0.0",0,,,,,2014-11-10T10:04:52
44aac59d-3b59-421a-8548-80fcb2e05ff7,-,-,North America,United States,75.104.65.119,38,"38.0,-97.0",-97,-,Viasat Communications,-,-,2014-09-08T15:09:51
fde8d529-9d39-4aae-9653-9df43e1184b4,770,Dallas,North America,United States,76.20.212.209,33.992,"33.9922,-84.855",-84.855,524,Comcast Cable,30132,Georgia,2014-08-31T16:11:06
e6ba00f6-f412-4e41-ae2b-5af28dd6c339,512,Austin,North America,United States,173.174.40.141,30.168,"30.1678,-97.8225",-97.823,635,Time Warner Cable,78748,Texas,2014-09-06T13:17:40
70ee3a20-67cc-4c58-b69f-59a51f5e65d4,-,-,North America,United States,64.134.97.30,38,"38.0,-97.0",-97,-,AT&T Wi-Fi Services,-,-,2014-07-23T12:50:35
507d6448-b2a4-46fb-9c34-161a045ebc73,781,Woburn,North America,United States,96.237.174.179,42.49,"42.4897,-71.1595",-71.159,506,Verizon FiOS,01801,Massachusetts,2014-07-22T04:14:11
f74d89ea-1362-4196-938e-91a74d45ca97,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-04T17:47:39
b4968970-c437-4635-b0e1-938585066a22,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-08T15:48:10
aacc8c71-2aca-4118-ade4-2c7c66832329,330,Kensington,North America,United States,173.252.110.119,40.721,"40.7212,-80.948",-80.948,536,Facebook,44427,Ohio,2014-08-18T16:54:58
7c2af435-ba7d-4aaa-b13c-be72de300f2c,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-12T22:50:58
81ef8c1e-e803-475f-b34d-a7782c4f1382,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-08-20T22:20:41
2bd00d8e-9770-4797-9f51-6e36326cb2b1,512,Austin,North America,United States,173.174.40.141,30.168,"30.1678,-97.8225",-97.823,635,Time Warner Cable,78748,Texas,2014-09-06T13:44:27
f9528c08-821d-4355-a59b-7818aaa68384,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-13T07:00:17
0e565903-d02c-494f-9826-80ffe77aff48,-,-,North America,United States,12.199.206.2,34.052,"34.0522,-118.2437",-118.24,-,Marriott International,-,California,2014-08-27T15:55:51
333c8c56-3b9e-4fd5-a7d9-72a407ffaa4b,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-04T22:55:46
fc8b2ea3-bd1f-47a2-ba30-875a971299c3,404,Atlanta,North America,United States,208.52.180.58,33.793,"33.793,-84.4432",-84.443,524,BroadRiver Communication Corp.,30318,Georgia,2014-08-28T13:03:28
269ed6c8-2338-439b-bda0-20e31fe4eb35,510,Fremont,North America,United States,108.83.20.176,37.508,"37.5079,-121.9599",-121.96,807,AT&T U-verse,94538,California,2014-08-25T19:48:44
601258de-eedc-41b7-8854-06e7d2ed17d0,512,Austin,North America,United States,173.174.40.141,30.168,"30.1678,-97.8225",-97.823,635,Time Warner Cable,78748,Texas,2014-09-06T11:53:27
77119690-6101-4b52-9f00-ba36428e70d5,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-13T02:02:32
915d92be-476f-47e8-89fc-aec003748bff,856,Moorestown,North America,United States,24.104.73.13,39.976,"39.9757,-74.9439",-74.944,504,Comcast Telecommunications,08057,New Jersey,2014-09-10T19:56:12
d0c38ef4-2f82-468c-af90-c74f982157e0,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-05T08:36:25
bc0531b4-d053-4de9-9fcd-e0b94819a976,770,Dallas,North America,United States,76.20.213.99,33.865,"33.8651,-84.8948",-84.895,524,Comcast Cable,30157,Georgia,2014-08-12T16:35:04
528a0632-d823-4b73-b733-9d6b7321affa,,,,,90.152.1.163,0,"0.0,0.0",0,,,,,2014-11-21T11:19:41
801d2917-860a-424c-aaba-1b941982bab1,,,,,166.205.67.38,0,"0.0,0.0",0,,,,,2014-09-28T14:07:19
1ac234aa-bd6f-4e67-a1ce-db6960ba74ac,,,,,173.174.40.141,0,"0.0,0.0",0,,,,,2014-11-26T23:20:06
e0c6ff46-63a9-44f4-bad4-491f9382568e,,,,,68.177.128.98,0,"0.0,0.0",0,,,,,2014-09-29T22:26:51
75d342f4-35fb-4392-897d-dd1cda8fa9c1,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-09T17:00:40
0d17f507-2072-4d54-a91c-a056fa2f9e42,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-04T22:57:14
3f185342-fd0a-4e86-9acc-8129b453a140,781,Woburn,North America,United States,96.237.174.179,42.49,"42.4897,-71.1595",-71.159,506,Verizon FiOS,01801,Massachusetts,2014-08-12T00:35:32
