1447688871.350147 - smartdata - INFO - Using webserver: localhost:3000
1447688871.350406 - smartdata - INFO - Priming data...
1447688871.350486 - smartdata - INFO - Populating past data...
1447689391.998689 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689397.006390 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689402.014291 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689407.018906 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689412.025242 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689417.028871 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689422.034948 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689427.040777 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689432.045392 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689437.049003 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689442.054918 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689447.059373 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689452.063967 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689457.070034 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689462.073471 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689467.080352 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689472.086447 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689477.087606 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689482.092079 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689487.094383 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689492.100493 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689497.107212 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689502.111350 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689507.117386 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689512.123393 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689517.124651 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689522.127723 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689527.133808 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689532.140159 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689537.146251 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689542.152178 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689547.158738 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689552.164257 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689557.165951 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689562.170148 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689567.174949 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689572.179062 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689577.185144 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689582.192680 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689587.198426 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689592.201398 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689597.207281 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689602.215307 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689607.219314 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689612.227309 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
